lemma_id,lemma,sense_num,type,ipa,pos,gender,entry,entry_str,gloss
427,aldyggiligr,\N,main,[aldygːiliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>faithful</i>.</div>",faithful.,faithful
436,alfeginn,\N,main,[alvɛɣinː],a. ,\N,"<div class=""oldnorse bodytext""><i>very glad</i>.</div>",very glad.,very glad
439,alfróðr,\N,main,[alvroːðr],a. ,\N,"<div class=""oldnorse bodytext""><i>very wise</i>.</div>",very wise.,very wise
440,allvitr,\N,main,[alːvitr],a. ,\N,"<div class=""oldnorse bodytext""><i>very wise</i>.</div>",very wise.,very wise
441,forvitri,\N,main,[fɔrvitri],a. ,\N,"<div class=""oldnorse bodytext""><i>very wise</i>.</div>",very wise.,very wise
444,alfúinn,\N,main,[alvuːinː],a. ,\N,"<div class=""oldnorse bodytext""><i>quite rotten</i>.</div>",quite rotten.,quite rotten
449,algera,\N,main,[alɣɛra],\N,\N,"<div class=""oldnorse bodytext"">(-ða, -ðr), v. <i>to finish, make perfect</i>.</div>","(-ða, -ðr), v. to finish, make perfect.","to finish, make perfect"
451,algerleikr,\N,main,[alɣɛrlɛikr],n.,m.,"<div class=""oldnorse bodytext""><i>perfection</i>.</div>",perfection.,perfection
453,algerliga,\N,main,[alɣɛrliɣa],adv.,\N,"<div class=""oldnorse bodytext""><i>completely, fully</i>.</div>","completely, fully.","completely, fully"
455,algerligleikr,\N,main,[alɣɛrliɣlɛikr],n.,m.,"<div class=""oldnorse bodytext"">= algerleikr.</div>",= algerleikr.,\N
457,algerr,\N,main,[alɣɛrː],a. ,\N,"<div class=""oldnorse bodytext""><i>perfect, complete</i>; <i>finished</i>.</div>","perfect, complete; finished.","perfect, complete"
459,algervi,\N,main,[alɣɛrvi],n.,f.,"<div class=""oldnorse bodytext""></div>",,\N
470,algæft,\N,main,[alɣɛːft],adv.,\N,"<div class=""oldnorse bodytext""><i>fully</i>.</div>",fully.,fully
471,fullkomliga,\N,main,[fulːkɔmliɣa],adv.,\N,"<div class=""oldnorse bodytext""><i>fully</i>.</div>",fully.,fully
494,aligás,\N,main,[aliɣaːs],n.,f.,"<div class=""oldnorse bodytext""><i>tame goose</i>.</div>",tame goose.,tame goose
506,alkunnigr,\N,main,[alkunːiɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>notorious</i>.</div>",notorious.,notorious
514,allágætr,\N,main,[alːaːɣɛːtr],a. ,\N,"<div class=""oldnorse bodytext""><i>very famous</i>.</div>",very famous.,very famous
515,allfrægr,\N,main,[alːvrɛːɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>very famous</i>.</div>",very famous.,very famous
521,alláræðislítill,\N,main,[alːaːrɛːðisliːtilː],a. ,\N,"<div class=""oldnorse bodytext""><i>very timid</i>.</div>",very timid.,very timid
524,allbeinn,\N,main,[alːbɛinː],a. ,\N,"<div class=""oldnorse bodytext""><i>very hospitable</i>.</div>",very hospitable.,very hospitable
527,allbitr,\N,main,[alːbitr],a. ,\N,"<div class=""oldnorse bodytext""><i>very sharp</i>.</div>",very sharp.,very sharp
539,alldýrr,\N,main,[alːdyːrː],a. ,\N,"<div class=""oldnorse bodytext""><i>very dear</i>.</div>",very dear.,very dear
558,allfjölrœtt,\N,main,[alːvjœlrœːtː],n.,n.,"<div class=""oldnorse bodytext"">pp.  <i>very much talked of</i>.</div>",pp.  very much talked of.,very much talked of
561,allfrekr,\N,main,[alːvrɛkr],a. ,\N,"<div class=""oldnorse bodytext""><i>very daring</i>.</div>",very daring.,very daring
568,allgamall,\N,main,[alːɣamalː],a. ,\N,"<div class=""oldnorse bodytext""><i>very old</i>.</div>",very old.,very old
569,eldigamall,\N,main,[ɛldiɣamalː],a. ,\N,"<div class=""oldnorse bodytext""><i>very old</i>.</div>",very old.,very old
570,elligamall,\N,main,[ɛlːiɣamalː],a. ,\N,"<div class=""oldnorse bodytext""><i>very old</i>.</div>",very old.,very old
571,fullgamall,\N,main,[fulːɣamalː],a. ,\N,"<div class=""oldnorse bodytext""><i>very old</i>.</div>",very old.,very old
587,allgrunsamliga,\N,main,[alːɣrunsamliɣa],adv.,\N,"<div class=""oldnorse bodytext""><i>very suspiciously</i>.</div>",very suspiciously.,very suspiciously
594,allhjaldrjúgr,\N,main,[alːhjaldrjuːɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>very talkative</i>.</div>",very talkative.,very talkative
607,allilla,\N,main,[alːilːa],adv.,\N,"<div class=""oldnorse bodytext""><i>very badly</i>.</div>",very badly.,very badly
608,fullilla,\N,main,[fulːilːa],adv.,\N,"<div class=""oldnorse bodytext""><i>very badly</i>.</div>",very badly.,very badly
610,allillr,\N,main,[alːilːr],a. ,\N,"<div class=""oldnorse bodytext""><i>very bad</i>.</div>",very bad.,very bad
621,allkynligr,\N,main,[alːkynliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>very strange</i>.</div>",very strange.,very strange
624,alllangr,\N,main,[alːlanɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>very long</i>.</div>",very long.,very long
632,alllíkligr,\N,main,[alːliːkliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>very likely</i>.</div>",very likely.,very likely
638,allmannhættr,\N,main,[alːmanːhɛːtːr],a. ,\N,"<div class=""oldnorse bodytext""><i>very dangerous</i>.</div>",very dangerous.,very dangerous
649,allmikill,\N,main,[alːmikilː],a. ,\N,"<div class=""oldnorse bodytext""><i>very great</i>.</div>",very great.,very great
653,allmjök,\N,main,[alːmjœk],adv.,\N,"<div class=""oldnorse bodytext""><i>very much</i>.</div>",very much.,very much
662,allopt,\N,main,[alːɔpt],adv.,\N,"<div class=""oldnorse bodytext""><i>very often</i>.</div>",very often.,very often
674,allrikr,\N,main,[alːrikr],a. ,\N,"<div class=""oldnorse bodytext""><i>very powerful</i>.</div>",very powerful.,very powerful
701,allskjótt,\N,main,[alːskjoːtː],adv.,\N,"<div class=""oldnorse bodytext""><i>very soon</i>.</div>",very soon.,very soon
717,allsterkr,\N,main,[alːstɛrkr],a. ,\N,"<div class=""oldnorse bodytext""><i>very strong</i>.</div>",very strong.,very strong
718,allstyrkr,\N,main,[alːstyrkr],a. ,\N,"<div class=""oldnorse bodytext""><i>very strong</i>.</div>",very strong.,very strong
719,furðusterkr,\N,main,[furðustɛrkr],a. ,\N,"<div class=""oldnorse bodytext""><i>very strong</i>.</div>",very strong.,very strong
738,allsœmiligr,\N,main,[alːsœːmiliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>very honourable</i>.</div>",very honourable.,very honourable
750,allungr,\N,main,[alːunɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>very young</i>.</div>",very young.,very young
751,frumungr,\N,main,[frumunɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>very young</i>.</div>",very young.,very young
757,allúfagr,\N,main,[alːuːvaɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>very ugly</i>.</div>",very ugly.,very ugly
764,allúhœgr,\N,main,[alːuːhœːɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>very difficult</i>.</div>",very difficult.,very difficult
799,allvel,\N,main,[alːvɛl],adv.,\N,"<div class=""oldnorse bodytext""><i>very well</i>.</div>",very well.,very well
806,allvíða,\N,main,[alːviːða],adv.,\N,"<div class=""oldnorse bodytext""><i>very widely</i>.</div>",very widely.,very widely
811,allvíss,\N,main,[alːviːsː],a. ,\N,"<div class=""oldnorse bodytext""><i>quite certain</i>.</div>",quite certain.,quite certain
813,allvænligr,\N,main,[alːvɛːnliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>very promising</i>;</div>",very promising;,very promising
832,almannaleið,\N,main,[almanːalɛið],n.,f.,"<div class=""oldnorse bodytext""><i>public road</i>.</div>",public road.,public road
886,alskjaldaðr,\N,main,[alskjaldaðr],adj.,\N,"<div class=""oldnorse bodytext"">a. closely set with shields.</div>",a. closely set with shields.,\N
894,alsnotr,\N,main,[alsnɔtr],a. ,\N,"<div class=""oldnorse bodytext""><i>all-wise, very clever</i>.</div>","all-wise, very clever.","all-wise, very clever"
899,alsveittr,\N,main,[alsvɛitːr],a. ,\N,"<div class=""oldnorse bodytext""><i>perspiring all over</i>.</div>",perspiring all over.,perspiring all over
901,alsviðr,\N,main,[alsviðr],a. ,\N,"<div class=""oldnorse bodytext""><i>all-wise</i>.</div>",all-wise.,all-wise
902,alsvinnr,\N,main,[alsvinːr],a. ,\N,"<div class=""oldnorse bodytext""><i>all-wise</i>.</div>",all-wise.,all-wise
931,alúðarmaðr,\N,main,[aluːðarmaðr],n.,m.,"<div class=""oldnorse bodytext""><i>sincere</i> or <i>devoted friend</i>.</div>",sincere or devoted friend.,sincere
941,alverki,\N,main,[alvɛrki],a. ,\N,"<div class=""oldnorse bodytext"">indecl. <i>aching, feeling pains all over the body</i>.</div>","indecl. aching, feeling pains all over the body.","aching, feeling pains all over the body"
957,alþingisför,\N,main,[alθinɣisfœr],n.,f.,"<div class=""oldnorse bodytext""><i>journey to the</i> alþingi.</div>",journey to the alþingi.,journey to the
996,ampli,\N,main,[ampli],n.,m.,"<div class=""oldnorse bodytext""><i>jug</i> (ampulla).</div>",jug (ampulla).,jug
1005,andaliga,\N,main,[andaliɣa],adv.,\N,"<div class=""oldnorse bodytext""><i>spiritually</i>.</div>",spiritually.,spiritually
1014,andargjöf,\N,main,[andarɣjœv],n.,f.,"<div class=""oldnorse bodytext"">= -gift.</div>",= -gift.,\N
1017,andarkraptr,\N,main,[andarkraptr],n.,m.,"<div class=""oldnorse bodytext""><i>strength of mind</i>.</div>",strength of mind.,strength of mind
1018,hugarkraptr,\N,main,[huɣarkraptr],n.,m.,"<div class=""oldnorse bodytext""><i>strength of mind</i>.</div>",strength of mind.,strength of mind
1022,andarsteggi,\N,main,[andarstɛgːi],n.,m.,"<div class=""oldnorse bodytext""><i>drake</i>.</div>",drake.,drake
1026,andarvani,\N,main,[andarvani],a. ,\N,"<div class=""oldnorse bodytext""><i>breathless, lifeless</i>.</div>","breathless, lifeless.","breathless, lifeless"
1027,andarvanr,\N,main,[andarvanr],a. ,\N,"<div class=""oldnorse bodytext""><i>breathless, lifeless</i>.</div>","breathless, lifeless.","breathless, lifeless"
1032,anddyri,\N,main,[andːyri],n.,n.,"<div class=""oldnorse bodytext""><i>porch</i>.</div>",porch.,porch
1043,andlátsdagr,\N,main,[andlaːtsdaɣr],n.,m.,"<div class=""oldnorse bodytext""><i>day of death</i>.</div>",day of death.,day of death
1044,banadagr,\N,main,[banadaɣr],n.,m.,"<div class=""oldnorse bodytext""><i>day of death</i>.</div>",day of death.,day of death
1046,andlátsdœgr,\N,main,[andlaːtsdœːɣr],n.,n.,"<div class=""oldnorse bodytext""><i>day of death</i>.</div>",day of death.,day of death
1053,andlitsbjörg,\N,main,[andlitsbjœrɣ],n.,f.,"<div class=""oldnorse bodytext""><i>visor</i>.</div>",visor.,visor
1067,andrammr,\N,main,[andramːr],a. ,\N,"<div class=""oldnorse bodytext""><i>having foul breath</i>.</div>",having foul breath.,having foul breath
1080,andstreymi,\N,main,[andstrɐymi],n.,n.,"<div class=""oldnorse bodytext""><i>adversity</i>.</div>",adversity.,adversity
1084,andstyggiligr,\N,main,[andstygːiliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>abominable, odious</i>.</div>","abominable, odious.","abominable, odious"
1093,andvana,\N,main,[andvana],a. ,\N,"<div class=""oldnorse bodytext""><i>destitute of, wanting</i>, with gen. (auðs andvani ok alls gamans).</div>","destitute of, wanting, with gen. (auðs andvani ok alls gamans).","destitute of, wanting"
1111,andæra,\N,main,[andɛːra],n.,f.,"<div class=""oldnorse bodytext""><i>resistance</i>.</div>",resistance.,resistance
1112,gagnstaða,\N,main,[gaɣnstaða],n.,f.,"<div class=""oldnorse bodytext""><i>resistance</i>.</div>",resistance.,resistance
1113,mótreist,\N,main,[moːtrɛist],n.,f.,"<div class=""oldnorse bodytext""><i>resistance</i>.</div>",resistance.,resistance
1133,angrlauss,\N,main,[anɣrlɒusː],a. ,\N,"<div class=""oldnorse bodytext""><i>free from care</i>.</div>",free from care.,free from care
1135,angrligr,\N,main,[anɣrliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>sad</i>.</div>",sad.,sad
1143,angrsemd,\N,main,[anɣrsɛmd],n.,f.,"<div class=""oldnorse bodytext""><i>depression of spirits</i>.</div>",depression of spirits.,depression of spirits
1158,annarr tveggi,\N,main,[anːarː tvɛgːi],n.,n.,"<div class=""oldnorse bodytext"">indef. pro <i>one or other of the two</i> = annarr hvárr; er aðrir tveggju eru lengra í burt komnir en ördrag, <i>when either of the two parties has got further away than an arrow’s flight</i>; annat tveggja … eða, <i>either … or</i>.</div>","indef. pro one or other of the two = annarr hvárr; er aðrir tveggju eru lengra í burt komnir en ördrag, when either of the two parties has got further away than an arrow’s flight; annat tveggja … eða, either … or.",one or other of the two
1170,annmarkalauss,\N,main,[anːmarkalɒusː],a. ,\N,"<div class=""oldnorse bodytext""><i>faultless</i>.</div>",faultless.,faultless
1184,apaldrsklubba,\N,main,[apaldrsklubːa],n.,f.,"<div class=""oldnorse bodytext""><i>club made of apple-tree</i>.</div>",club made of apple-tree.,club made of apple-tree
1190,appella,\N,main,[apːɛlːa],\N,\N,"<div class=""oldnorse bodytext"">(að), v. <i>to cite, summon to the pope</i>.</div>","(að), v. to cite, summon to the pope.","to cite, summon to the pope"
1237,aptrkoma,\N,main,[aptrkɔma],n.,f.,"<div class=""oldnorse bodytext""><i>coming back, return</i>.</div>","coming back, return.","coming back, return"
1249,arahreiðr,\N,main,[arahrɛiðr],n.,n.,"<div class=""oldnorse bodytext""><i>eagle’s nest, eyrie</i>.</div>","eagle’s nest, eyrie.","eagle’s nest, eyrie"
1255,arði,\N,main,[arði],\N,\N,"<div class=""oldnorse bodytext"">from erja.</div>",from erja.,\N
1288,arftakari,\N,main,[arftakari],n.,m.,"<div class=""oldnorse bodytext""><i>inheritor</i>.</div>",inheritor.,inheritor
1298,arfþegi,\N,main,[arfðɛɣi],n.,m.,"<div class=""oldnorse bodytext""><i>heir</i>.</div>",heir.,heir
1300,arghola,\N,main,[arɣhɔla],n.,f.,"<div class=""oldnorse bodytext""><i>harlot</i>.</div>",harlot.,harlot
1301,falsmær,\N,main,[falsmɛːr],n.,f.,"<div class=""oldnorse bodytext""><i>harlot</i>.</div>",harlot.,harlot
1302,hórkerling,\N,main,[hoːrkɛrlinɣ],n.,f.,"<div class=""oldnorse bodytext""><i>harlot</i>.</div>",harlot.,harlot
1303,saurlífiskona,\N,main,[sɒurliːviskɔna],n.,f.,"<div class=""oldnorse bodytext""><i>harlot</i>.</div>",harlot.,harlot
1329,armvitki,\N,main,[armvitki],n.,f.,"<div class=""oldnorse bodytext""><i>compassion</i>.</div>",compassion.,compassion
1330,ástarvárkunn,\N,main,[aːstarvaːrkunː],n.,f.,"<div class=""oldnorse bodytext""><i>compassion</i>.</div>",compassion.,compassion
1331,brjóstgœði,\N,main,[brjoːstɣœːði],n.,f.,"<div class=""oldnorse bodytext""><i>compassion</i>.</div>",compassion.,compassion
1332,samharman,\N,main,[samharman],n.,f.,"<div class=""oldnorse bodytext""><i>compassion</i>.</div>",compassion.,compassion
1337,arnar,\N,main,[arnar],\N,\N,"<div class=""oldnorse bodytext"">from örn, <i>eagle</i>.</div>","from örn, eagle.",eagle
1364,atbeini,\N,main,[atbɛini],n.,m.,"<div class=""oldnorse bodytext""><i>assistance, help</i>.</div>","assistance, help.","assistance, help"
1388,atferðarmaðr,\N,main,[atfɛrðarmaðr],n.,m.,"<div class=""oldnorse bodytext""><i>energetic man</i>.</div>",energetic man.,energetic man
1419,atgørvimaðr,\N,main,[atɣørvimaðr],n.,m.,"<div class=""oldnorse bodytext""><i>a man of great</i> (physical) <i>accomplishments</i>.</div>",a man of great (physical) accomplishments.,a man of great
1430,athlœgiligr,\N,main,[athlœːɣiliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>ridiculous</i>.</div>",ridiculous.,ridiculous
1433,athugaleysi,\N,main,[athuɣalɐysi],n.,n.,"<div class=""oldnorse bodytext""><i>heedlessness</i>.</div>",heedlessness.,heedlessness
1438,athugasamliga,\N,main,[athuɣasamliɣa],adv.,\N,"<div class=""oldnorse bodytext""><i>attentively</i>.</div>",attentively.,attentively
1441,athugasamr,\N,main,[athuɣasamr],a. ,\N,"<div class=""oldnorse bodytext""><i>heedful, attentive</i>.</div>","heedful, attentive.","heedful, attentive"
1455,atkoma,\N,main,[atkɔma],n.,f.,"<div class=""oldnorse bodytext""></div>",,\N
1466,atmælasamr,\N,main,[atmɛːlasamr],a. ,\N,"<div class=""oldnorse bodytext""><i>fault-finding</i>.</div>",fault-finding.,fault-finding
1477,atsamr,\N,main,[atsamr],a. ,\N,"<div class=""oldnorse bodytext""><i>quarrelsome, contentious</i>.</div>","quarrelsome, contentious.","quarrelsome, contentious"
1478,deilugjarn,\N,main,[dɛiluɣjarn],a. ,\N,"<div class=""oldnorse bodytext""><i>quarrelsome, contentious</i>.</div>","quarrelsome, contentious.","quarrelsome, contentious"
1479,sakgæfinn,\N,main,[sakɣɛːvinː],a. ,\N,"<div class=""oldnorse bodytext""><i>quarrelsome, contentious</i>.</div>","quarrelsome, contentious.","quarrelsome, contentious"
1492,atstóð,\N,main,[atstoːð],n.,f.,"<div class=""oldnorse bodytext""><i>support, assistance</i>.</div>","support, assistance.","support, assistance"
1500,atti,\N,main,[atːi],\N,\N,"<div class=""oldnorse bodytext"">from etja.</div>",from etja.,\N
1512,atyrðayrði,\N,main,[atyrðayrði],n.,n.,"<div class=""oldnorse bodytext"">pl. <i>abusive words</i>.</div>",pl. abusive words.,abusive words
1519,auðfengr,\N,main,[ɒuðvɛnɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>easy to get</i>.</div>",easy to get.,easy to get
1520,auðgætligr,\N,main,[ɒuðɣɛːtliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>easy to get</i>.</div>",easy to get.,easy to get
1532,auðigr,\N,main,[ɒuðiɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>rich, wealthy</i> (~ at fé);</div>","rich, wealthy (~ at fé);","rich, wealthy"
1550,auðmaðr,\N,main,[ɒuðmaðr],n.,m.,"<div class=""oldnorse bodytext""><i>wealthy man</i>.</div>",wealthy man.,wealthy man
1563,auðnarmaðr,\N,main,[ɒuðnarmaðr],n.,m.,"<div class=""oldnorse bodytext""><i>destroyer</i>.</div>",destroyer.,destroyer
1564,niðrbrotari,\N,main,[niðrbrɔtari],n.,m.,"<div class=""oldnorse bodytext""><i>destroyer</i>.</div>",destroyer.,destroyer
1569,auðnulauss,\N,main,[ɒuðnulɒusː],a. ,\N,"<div class=""oldnorse bodytext""><i>luckless</i>.</div>",luckless.,luckless
1570,giptutómr,\N,main,[giptutoːmr],a. ,\N,"<div class=""oldnorse bodytext""><i>luckless</i>.</div>",luckless.,luckless
1571,gæfulauss,\N,main,[gɛːvulɒusː],a. ,\N,"<div class=""oldnorse bodytext""><i>luckless</i>.</div>",luckless.,luckless
1572,hamingjulauss,\N,main,[haminɣjulɒusː],a. ,\N,"<div class=""oldnorse bodytext""><i>luckless</i>.</div>",luckless.,luckless
1582,auðráðr,\N,main,[ɒuðraːðr],a. ,\N,"<div class=""oldnorse bodytext""><i>pliable, yielding</i>.</div>","pliable, yielding.","pliable, yielding"
1602,auðtryggi,\N,main,[ɒuðtrygːi],n.,f.,"<div class=""oldnorse bodytext""><i>simplicity, credulity</i>.</div>","simplicity, credulity.","simplicity, credulity"
1610,auðveldr,\N,main,[ɒuðvɛldr],\N,\N,"<div class=""oldnorse bodytext"">a.</div>",a.,\N
1619,aufusa,\N,main,[ɒuvusa],n.,f.,"<div class=""oldnorse bodytext""><i>thanks, gratitude, satisfaction, pleasure</i>;</div>","thanks, gratitude, satisfaction, pleasure;","thanks, gratitude, satisfaction, pleasure"
1632,augbrádapr,\N,main,[ɒuɣbraːdapr],a. ,\N,"<div class=""oldnorse bodytext""><i>weak-sighted</i>.</div>",weak-sighted.,weak-sighted
1659,augsýniliga,\N,main,[ɒuɣsyːniliɣa],adv.,\N,"<div class=""oldnorse bodytext""><i>visibly</i>.</div>",visibly.,visibly
1675,aukning,\N,main,[ɒukninɣ],n.,f.,"<div class=""oldnorse bodytext""><i>increase</i>.</div>",increase.,increase
1689,aungan,\N,main,[ɒunɣan],\N,\N,"<div class=""oldnorse bodytext"">from öngr, <i>none</i>.</div>","from öngr, none.",none
1691,auradagr,\N,main,[ɒuradaɣr],n.,m.,"<div class=""oldnorse bodytext""><i>pay-day</i>.</div>",pay-day.,pay-day
1699,aurataka,\N,main,[ɒurataka],n.,f.,"<div class=""oldnorse bodytext""><i>receipt of money</i>.</div>",receipt of money.,receipt of money
1714,ausker,\N,main,[ɒuskɛr],n.,n.,"<div class=""oldnorse bodytext"">= austrsker.</div>",= austrsker.,\N
1806,áburðarsamligr,\N,main,[aːburðarsamliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>showy</i>.</div>",showy.,showy
1807,áburðarsamr,\N,main,[aːburðarsamr],a. ,\N,"<div class=""oldnorse bodytext""><i>showy</i>.</div>",showy.,showy
1808,oflátligr,\N,main,[ɔvlaːtliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>showy</i>.</div>",showy.,showy
1809,skartsamligr,\N,main,[skartsamliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>showy</i>.</div>",showy.,showy
1826,áði,\N,main,[aːði],\N,\N,"<div class=""oldnorse bodytext"">from æja.</div>",from æja.,\N
1864,ágengiligr,\N,main,[aːɣɛnɣiliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>acceptable, agreeable</i>.</div>","acceptable, agreeable.","acceptable, agreeable"
1865,þægiligr,\N,main,[θɛːɣiliɣr],a. ,\N,"<div class=""oldnorse bodytext""><i>acceptable, agreeable</i>.</div>","acceptable, agreeable.","acceptable, agreeable"
1873,ágirndareldr,\N,main,[aːɣirndarɛldr],n.,m.,"<div class=""oldnorse bodytext""><i>flame of ambition</i> or <i>cupidity</i>.</div>",flame of ambition or cupidity.,flame of ambition
1885,ágætagóðr,\N,main,[aːɣɛːtaɣoːðr],a. ,\N,"<div class=""oldnorse bodytext""><i>excellent</i>.</div>",excellent.,excellent
1889,ágætaskjótr,\N,main,[aːɣɛːtaskjoːtr],a. ,\N,"<div class=""oldnorse bodytext""><i>very swift</i>.</div>",very swift.,very swift
1912,áheyrsi,\N,main,[aːhɐyrsi],a. ,\N,"<div class=""oldnorse bodytext"">indecl., verða e-s ~, <i>to get to know by hearing</i>.</div>","indecl., verða e-s ~, to get to know by hearing.",to get to know by hearing
1922,áhugalítill,\N,main,[aːhuɣaliːtilː],a. ,\N,"<div class=""oldnorse bodytext""><i>slow</i>.</div>",slow.,slow
1923,úbráðr,\N,main,[uːbraːðr],a. ,\N,"<div class=""oldnorse bodytext""><i>slow</i>.</div>",slow.,slow
1932,áhyggjufenginn,\N,main,[aːhygːjuvɛnɣinː],a. ,\N,"<div class=""oldnorse bodytext""><i>anxious, concerned</i>.</div>","anxious, concerned.","anxious, concerned"
1934,áhyggjulauss,\N,main,[aːhygːjulɒusː],a. ,\N,"<div class=""oldnorse bodytext""><i>unconcerned</i>.</div>",unconcerned.,unconcerned
1935,úhryggr,\N,main,[uːhrygːr],a. ,\N,"<div class=""oldnorse bodytext""><i>unconcerned</i>.</div>",unconcerned.,unconcerned
1946,áifangi,\N,main,[aːivanɣi],n.,m.,"<div class=""oldnorse bodytext""><i>restin-place</i> (for horses to rest and graze).</div>",restin-place (for horses to rest and graze).,restin-place
1964,ákastasamr,\N,main,[aːkastasamr],a. ,\N,"<div class=""oldnorse bodytext""><i>taunting</i>.</div>",taunting.,taunting
1965,orðbæginn,\N,main,[ɔrðbɛːɣinː],a. ,\N,"<div class=""oldnorse bodytext""><i>taunting</i>.</div>",taunting.,taunting
1974,ákoma,\N,main,[aːkɔma],n.,f.,"<div class=""oldnorse bodytext""></div>",,\N
1983,ákærari,\N,main,[aːkɛːrari],n.,m.,"<div class=""oldnorse bodytext""><i>accuser, complainant</i>.</div>","accuser, complainant.","accuser, complainant"
