rt_ref_link_id,rt_ref_link_id_old,orig_lang_abbrev,lex_ref_link_id,ref_id,ref_rt_index,word_id,ref_wd_index,reflex,category,gloss_orig,gloss_eng,questionable,notes,expanded_notes,original_text,created_by,last_updated_by,last_updated,rt_master_id,derivation,rt_index,orig_lang_abbrev_raw,lang_map_status
2093,,,60600,pok,,,41390,ni,,wir,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1353,cymr. corn. bret. ,conflict
2093,,,60601,pok,,,41391,ny ,,wir,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1353,cymr. corn. bret. ,conflict
2296,,,63855,pok,,,44645,er,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1484,cymr. corn. bret. ,conflict
2580,,,68836,pok,,,49626,hir,,lang,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1659,cymr. corn. bret. ,conflict
3125,,,79546,pok,,,60336,tal,,Stirn,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1973,cymr. corn. bret. ,conflict
2152,,,61453,pok,,,42243,a,,Vokativpartikel,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1398,cymr. corn. bret.  ,conflict
260,,,24436,pok,,,5214,broch,,Dachs,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,187,cymr. mbr.,conflict
2580,,,68717,pok,,,49507,hael,,"cordial, généreux",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1656,cymr. mbret.,conflict
3175,,,80280,pok,,,61073,tru ,,elend,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1997,cymr. mbret. ,conflict
773,,,35848,pok,,,16622,διᾱνεκής ,,durch eine Strecke hindurchreichend = ununterbrochen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,481,dor. att.,conflict
539,,,30182,pok,,,10956,Δωρί-μαχος,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,349,dor. böot.,conflict
980,,,41040,pok,,,21814,χά̄ν,,Gans,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,614,dor. böot. ,conflict
94,,,21144,pok,,,1922,ἀν,,"auf, in die Höhe, entlang",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,78,dor. böot. ark. kypr.,conflict
997,,,41360,pok,,,22134,γὰ,,(enklitisch Partikel),,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,622,dor. böot. el. ,conflict
3375,,,84239,pok,,,65024,ϝηλέω,,"dränge, drücke, presse",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2128,dor. el. ,conflict
2809,,,73744,pok,,,54534,μικκός,,klein,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1784,dor. ion.,conflict
3240,,,81553,pok,,,62338,τράπω,,wende,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2035,dor. ion.,conflict
3171,,,80189,pok,,,60982,τρῶμα,,Wunde,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1997,dor. ion. ,conflict
1704,,,53439,pok,,,34229,τετpώκοντα,,vierzig,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1097,dor. ion. delph. ,conflict
1553,,,51676,pok,,,32466,κῆνος ,,jener,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,986,dor. lesb.,conflict
2135,,,61133,pok,,,41923,νᾱός,,"(Götterwohnung =) Tempel, Heiligtum",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1376,dor. thess. ,conflict
1700,,,53360,pok,,,34150,τέτορες,,vier,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1097,dor. wgr.,conflict
1999,,,58894,pok,,,39684,μάθη,,"Lernen, Unterricht",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1283,dor. äol. ,conflict
2132,,,61088,pok,,,41878,ἔνερθα,,von unten,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1374,dor. äol. ,conflict
331,,,25648,pok,,,6426,βερνώμεθα,,κληρωσώμεθα,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,228,dor.-ill. ,conflict
331,,,25649,pok,,,6427,αβήρ,,οἴκημα στοὰς ἔχον,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,228,dor.-ill. ,conflict
729,,,34856,pok,,,15630,Οἴβαλος,,γενέθλιος,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,455,dor.-illyr.,conflict
1651,,,52776,pok,,,33566,quander,,Angelica silvestris,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1071,dän. färö. ,conflict
1431,,,49133,pok,,,29907,noppe,,"Wollflocke, Zotte, Hechelhede",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,905,dän. mnd. ,conflict
109,,,21346,pok,,,2124,igle,,ein schmarotzender Blattwurm in den Eingeweiden der Tiere und in der Haut und den Kiemen der Fische,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,86,dän. norw.,conflict
598,,,31733,pok,,,12507,die,,saugen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,380,dän. norw. ,conflict
937,,,39996,pok,,,20770,krabbe ,,"scharren, grapsen; krabbeln, kriechen",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,578,dän. norw. ,conflict
1831,,,55754,pok,,,36544,las,,Lumpen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1175,dän. norw. ,conflict
1831,,,55755,pok,,,36545,lase ,,Lumpen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1175,dän. norw. ,conflict
2047,,,59798,pok,,,40588,i smug,,verstohlen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1312,dän. norw. ,conflict
2047,,,59801,pok,,,40591,smughandel ,,Schleichhandel,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1312,dän. norw. ,conflict
2953,,,76368,pok,,,57158,stirra,,"starren, stieren",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1871,dän. schwed.,conflict
3057,,,78712,pok,,,59502,swank,,"Tal, Höhlung",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1935,dän. schwed.,conflict
1406,,,48747,pok,,,29521,hammel,,das Querstück vorn am Wagen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,897,dän. schwed. ,conflict
2844,,,74340,pok,,,55130,nōr,,"Knirps, ganz kleines Kind",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1808,dän. schwed. ,conflict
2844,,,74342,pok,,,55132,snōr,,"Schnur, Band, Seil",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1808,dän. schwed. ,conflict
511,,,29241,pok,,,10015,talg,,Talg,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,331,dän. schwed. norw.,conflict
2639,,,69838,pok,,,50628,sakka,,sinken,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1686,dän.-norw.,conflict
261,,,24475,pok,,,5253,borre,,Klette,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,189,dän.-schwed.,conflict
554,,,30485,pok,,,11259,δά̄ν,,"lange, lange her",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,353,el. dor. ,conflict
3370,,,84077,pok,,,64862,ϝέπος,,Wort,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2124,el. kypr.,conflict
2917,,,75752,pok,,,56542,splinter,,"Splitter, Span",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1852,engl. nd. nl. ,conflict
840,,,37358,pok,,,18132,eider,,eider,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,524,engl. ndl. nhd. ,conflict
3520,,,19455,pok,,,233,ἀγῑνέμεναι,,"führe, bringe",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,10,ep. ion,conflict
3520,,,19456,pok,,,234,ἀγῑνέω,,"führe, bringe",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,10,ep. ion,conflict
584,,,31231,pok,,,12005,τέθηπα,,erstaunen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,369,ep. ion.,conflict
584,,,31232,pok,,,12006,ταφών,,erstaunen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,369,ep. ion.,conflict
587,,,31233,pok,,,12007,θώπτω,,(staune an =) schmeichle,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,369,ep. ion.,conflict
587,,,31234,pok,,,12008,θωπεύω,,(staune an =) schmeichle,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,369,ep. ion.,conflict
587,,,31235,pok,,,12009,θάμβος,,"Staunen, Verwunderung, Schrecken",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,369,ep. ion.,conflict
587,,,31236,pok,,,12010,θαμβέω,,"staune, erstaune, erschrecke",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,369,ep. ion.,conflict
1295,,,46875,pok,,,27649,ἄκῑκυς,,"schwach, schlapp",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,824,ep. ion.,conflict
1127,,,44184,pok,,,24958,ζώω,,lebe,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,707,ep. ion. ,conflict
1335,,,47334,pok,,,28108,κάρτος,,"Stärke, Kraft",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,846,ep. ion. ,conflict
2587,,,68986,pok,,,49776,ἤν-εικα,,ἤνεγκα,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1662,ep. ion. ,conflict
3266,,,81957,pok,,,62742,σειρή,,"Seil, Band",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2057,ep. ion. ,conflict
3344,,,83287,pok,,,64072,ἴ̄ρηξ,,Habicht (der schnelle),,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2107,ep. ion. ,conflict
3375,,,84237,pok,,,65022,εἰλέω,,"dränge, drücke, presse",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2128,ep. ion. ,conflict
2243,,,62683,pok,,,43473,ποίη,,"Gras, Rasenplatz",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1456,ep.-ion. ,conflict
3339,,,83150,pok,,,63935,uinu,,Wein,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2105,falisk. volsk. ,conflict
727,,,34837,pok,,,15611,aisa ,,Stange der Gabeldeichsel,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,451,finn. wotj.,conflict
1230,,,46072,pok,,,26846,juusto,,Käse,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,783,finn.-urnord.,conflict
2442,,,66610,pok,,,47400,rak,,"gerade, recht",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1588,fries. mnd. ,conflict
2654,,,70224,pok,,,51014,Savus,,FlN ,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1701,gall. (illyr.),conflict
535,,,29908,pok,,,10682,dravoca,,Lolch,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,343,gall. (lat.) ,conflict
2278,,,63298,pok,,,44088,*ulvos,,Staub,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1468,gall. (rom.),conflict
539,,,30034,pok,,,10808,Drippia,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,343,gall. (ven.-ill.),conflict
539,,,30035,pok,,,10809,Drippōnius ,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,343,gall. (ven.-ill.),conflict
2253,,,62809,pok,,,43599,Pictones,,Poitou,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1458,gall. (ven.-illyr.),conflict
2253,,,62810,pok,,,43600,Pictāvi,,Poitou,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1458,gall. (ven.-illyr.),conflict
2642,,,70071,pok,,,50861,Sara,,FlN ,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1694,gall. (ven.-illyr.),conflict
2642,,,70072,pok,,,50862,Sarāvus ,,FlN (die Saar),,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1694,gall. (ven.-illyr.),conflict
2226,,,62467,pok,,,43257,Pusa ,,PN ,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1451,gall. (venet.),conflict
2086,,,60433,pok,,,41223,nāvā,,Talschlucht,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1349,gall. (vorrom.),conflict
206,,,19241,pok,,,19,Abona,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1,gall. brit. ,conflict
712,,,34380,pok,,,15154,odocos ,,Attich,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,441,gall. gallorom. ,conflict
656,,,32899,pok,,,13673,Δοῦνον,,Burg,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,412,gall. urir.,conflict
804,,,36638,pok,,,17412,*Arvā,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,497,gall.-brit.,conflict
975,,,40973,pok,,,21747,γαῖσον,,schwerer eiserner Wurfspieß,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,609,gall.-gr.,conflict
2052,,,59966,pok,,,40756,μανιάκης,,Halsband keltischer Völker,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1324,gall.-gr.,conflict
2052,,,59967,pok,,,40757,μάννος,,Halsband keltischer Völker,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1324,gall.-gr.,conflict
2052,,,59968,pok,,,40758,μαννάκιον ,,Halsband keltischer Völker,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1324,gall.-gr.,conflict
324,,,25533,pok,,,6311,bindan,,binden,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,226,got. ags.,conflict
640,,,32557,pok,,,13331,dragan,,ziehen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,402,got. ags.,conflict
1872,,,56739,pok,,,37529,magan,,mögen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1205,got. ags.,conflict
1872,,,56747,pok,,,37537,mag,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1205,got. ags. ahd.,conflict
3397,,,84866,pok,,,65651,windan,,winden,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2139,got. ags. as.,conflict
773,,,35966,pok,,,16740,niun,,neun,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,483,got. ahd.,conflict
1950,,,58107,pok,,,38897,malan,,mahlen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1256,got. ahd.,conflict
2257,,,62919,pok,,,43709,faginōn,,sich freuen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1463,got. ahd.,conflict
2613,,,69524,pok,,,50314,salbōn,,salben,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1679,got. ahd.,conflict
2639,,,70007,pok,,,50797,sibun,,sieben,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1693,got. ahd.,conflict
2093,,,60602,pok,,,41392,uns,,uns,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1353,got. ahd. ,conflict
2882,,,75060,pok,,,55850,spinnan,,spinnen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1832,got. ahd. ags.,conflict
361,,,26511,pok,,,7289,brinnan,,brennen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,243,got. ahd. as.,conflict
2089,,,60518,pok,,,41308,ni,,nicht,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1351,got. ahd. as.,conflict
2092,,,60571,pok,,,41361,un-,,Verneinungspartikel ,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1351,got. ahd. as.,conflict
712,,,34142,pok,,,14916,ju,,schon,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,438,got. ahd. as. ags.,conflict
3215,,,81107,pok,,,61892,þar,,dort,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2017,got. aisl. ,conflict
2697,,,70831,pok,,,51621,skip,,"Schiff, Boot (*ausgeschnittener, gehöhlter Einbaum)",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1718,got. aisl. ags. ,conflict
2758,,,72914,pok,,,53704,hūs,,Haus,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1747,got. aisl. ags. as. ahd. ,conflict
335,,,25735,pok,,,6513,barn,,Kind,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,228,got. aisl. ahd. as.,conflict
2542,,,68061,pok,,,48851,salt,,Salz,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1643,got. aisl. as.,conflict
1813,,,55477,pok,,,36267,land,,Land,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1163,got. aisl. as. ags.,conflict
1692,,,53193,pok,,,33983,hals,,Hals,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1088,got. aisl. asächs. ,conflict
571,,,30976,pok,,,11750,wi-t,,wir zwei,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,368,got. anord. as. ags. afries.,conflict
157,,,22457,pok,,,3235,ak,,aber,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,125,got. as. ,conflict
2930,,,75992,pok,,,56782,standan,,stehen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1868,got. as. ,conflict
2112,,,60947,pok,,,41737,niman,,nehmen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1370,got. as. ags.,conflict
504,,,29046,pok,,,9820,hund,,ein Hundert,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,327,got. as. ags. ,conflict
1238,,,46103,pok,,,26877,juk,,Joch,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,784,got. asächs. ,conflict
1014,,,41727,pok,,,22501,gain- ,,Waffe,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,630,got. langob.,conflict
1014,,,41728,pok,,,22502,Gainhard,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,630,got. langob.,conflict
1014,,,41729,pok,,,22503,Gainwald,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,630,got. langob.,conflict
778,,,36069,pok,,,16843,ὅνε ,,ὅδε,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,485,gr thess.,conflict
778,,,36070,pok,,,16844,τόνε,,ὅδε,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,485,gr thess.,conflict
778,,,36071,pok,,,16845,τάνε,,ὅδε,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,485,gr thess.,conflict
778,,,36072,pok,,,16846,τοῖνεος ,,ὅδε,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,485,gr thess.,conflict
1769,,,54816,pok,,,35606,λῆν,,wollen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1136,gr. (dor.),conflict
2774,,,73232,pok,,,54022,λάζομαι,,"nehme, fasse, ergreife",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1765,gr. (ep. ion.),conflict
108,,,21322,pok,,,2100,ἄβεις,,ἔχεις,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,86,gr. (illyr.),conflict
2103,,,60685,pok,,,41475,Νέδα ,,FlN ,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1357,gr. (illyr.),conflict
2103,,,60686,pok,,,41476,Νέδων ,,FlN ,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1357,gr. (illyr.),conflict
497,,,28850,pok,,,9624,δέκομαι,,nehme an,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,325,gr. (ion. äol. kret.),conflict
707,,,34010,pok,,,14784,ὅτερος,,welcher von beiden,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,438,gr. (kret. gort.),conflict
1508,,,51087,pok,,,31877,κίκερροι ,,ὠχροί. Μακεδόνες,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,963,gr. (maked.),conflict
754,,,35552,pok,,,16326,ἔνι,,in,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,476,gr. (poet.),conflict
754,,,35553,pok,,,16327,ἐνί ,,in,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,476,gr. (poet.),conflict
1466,,,50085,pok,,,30859,κῆρ,,Herz,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,933,gr. (poet.),conflict
1944,,,57993,pok,,,38783,μοῖτος,,"Vergeltung, Dank",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1254,gr. (sizil.) ,conflict
2261,,,63062,pok,,,43852,πόλις,,"Burg, Stadt, Staat",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1466,gr. (äol.),conflict
3136,,,79680,pok,,,60473,Τέμμῑκες,,VN ,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1981,gr. (äol.),conflict
1903,,,57207,pok,,,37997,μέστε,,bis,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1228,gr. arkad. ,conflict
535,,,29905,pok,,,10679,δαράτα ,,Brot,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,343,gr. delph.,conflict
2212,,,62237,pok,,,43027,ὦς ,,Ohr,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1437,gr. dor.,conflict
2218,,,62287,pok,,,43077,πανία,,πλησμονή,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1440,gr. dor.,conflict
2218,,,62288,pok,,,43078,πάνια ,,τὰπλήσμια,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1440,gr. dor.,conflict
729,,,34920,pok,,,15694,ἱαρός,,"kräftig, rüstig",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,458,gr. dor. ,conflict
3247,,,81727,pok,,,62512,τύ,,du,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2047,gr. dor. ,conflict
554,,,30456,pok,,,11230,δέω,,"ermangle, fehle, entbehre",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,353,gr. dor. att. ,conflict
990,,,41262,pok,,,22036,σερ-ός,,χθές ,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,620,gr. eleisch,conflict
2357,,,65175,pok,,,45965,πλάγος ,,Seite,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1524,gr. herakl.,conflict
2357,,,65176,pok,,,45966,τὰ πλάγια,,"die Seiten, Flanken",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1524,gr. herakl.,conflict
2357,,,65177,pok,,,45967,πλάγιος,,"(*die Seite zuwendend =) quer, schief",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1524,gr. herakl.,conflict
816,,,37055,pok,,,17829,εἰμί,,sein,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,516,gr. hom. att.,conflict
264,,,24574,pok,,,5352,φήνη ,,"eine Adlerart, wahrscheinlich Vultur monachus",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,194,gr. hom. att. ,conflict
822,,,37177,pok,,,17951,ἔστω,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,516,gr. hom. att. ,conflict
1061,,,43020,pok,,,23794,χείλιοι,,Tausend,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,667,gr. ion.,conflict
2003,,,58946,pok,,,39736,μάσσω ,,"drücke, knete, streiche, wische",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1285,gr. ion.,conflict
1347,,,47630,pok,,,28404,κήλη,,"Geschwulst, bes. Leibschaden",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,857,gr. ion. ,conflict
2165,,,61625,pok,,,42415,ὄγδο(ϝ)ος,,der achte,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1409,gr. ion. att. ,conflict
2930,,,76008,pok,,,56798,στανύω,,stelle,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1868,gr. kret. ,conflict
2031,,,59552,pok,,,40342,μυλάσασθαι,,sich waschen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1308,gr. kypr. ,conflict
2212,,,62244,pok,,,43034,αὖς ,,Ohr,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1437,gr. lak.,conflict
520,,,32673,pok,,,13447,θέρσος,,"Mut, Kühnheit",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,407,gr. lesb.,conflict
796,,,36554,pok,,,17328,ὀρί̄νω,,"setze in Bewegung, errege, reize zum Zorn",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,497,gr. lesb.,conflict
1258,,,46386,pok,,,27160,ὔμμε ,,ihr,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,797,gr. lesb.,conflict
346,,,25944,pok,,,6722,βερρόν,,δασύ,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,230,gr. lesb. thess.,conflict
1508,,,51094,pok,,,31884,κίφος ,,στέφανος,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,965,gr. messenisch ,conflict
836,,,37296,pok,,,18070,ἔαρ,,Blut,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,520,gr. poet.,conflict
836,,,37297,pok,,,18071,εἰ̃αρ ,,Blut,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,520,gr. poet.,conflict
1581,,,52169,pok,,,32959,κρέων,,Partiz. 'hervorleuchtend' (?),,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1025,gr. poet.,conflict
1626,,,52524,pok,,,33314,κτέαρ,,"Besitz, Eigentum, Vermögen",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1054,gr. poet.,conflict
1626,,,52525,pok,,,33315,κτεάτεσσιν,,"Besitz, Vermögen",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1054,gr. poet.,conflict
1872,,,56735,pok,,,37525,μῆχαρ ,,Hilfsmittel,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1205,gr. poet.,conflict
2346,,,64960,pok,,,45750,πυρσός,,feuerrot,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1514,gr. poet.,conflict
3397,,,84862,pok,,,65647,ἄθρας,,Wagen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2139,gr. rhod. ,conflict
2362,,,66547,pok,,,47337,ῥογός,,Getreidescheune,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1588,gr. sizil. ,conflict
2052,,,59961,pok,,,40751,μολγός,,Sack aus Rindsleder,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1323,gr. tarent.,conflict
3215,,,81100,pok,,,61885,τῆ-δε,,hier,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2017,gr. ther. megar. ,conflict
598,,,31723,pok,,,12497,dithë,,Käse,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,380,gr.-alb. ,conflict
554,,,30615,pok,,,11389,δίζα,,αἴξ. Λάκωνες,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,357,gr.-thrak. ,conflict
2699,,,70851,pok,,,51641,schepp,,schief,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1719,hess.-fränk. ,conflict
70,,,20685,pok,,,1463,āṭā ,,Mehl,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,56,hindi bengali ,conflict
2231,,,62515,pok,,,43305,pata-,,Fuß,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1453,hitt. luv. ,conflict
1211,,,45793,pok,,,26567,jagen,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,766,holl. nhd. ,conflict
629,,,32356,pok,,,13130,θρῆνυς,,"Schemel, Ruderbank",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,398,hom. (ion.) ,conflict
3375,,,84248,pok,,,65033,ἀελλής,,dicht zusammengezogen (κονίσαλος),,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2128,hom. (äol.),conflict
483,,,28525,pok,,,9299,δέω,,binde,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,319,hom. att.,conflict
