string,lemma
effēta,effēta
fīuō,fīus
danea,daneus
fracēre,fracēria
infestāre,infestār
fēsiae,fēsia
fūmāre,fūmār
dūnum,dūnus
Furiae,furia
dosinus,dosinus
forēs,forēs
eh,eh
ēdī,ēdī
eis,is
eisdem,idem
id,is
emem,emem
eam,is
ēdī,ēdī
ēdimus,ēdo
edulus,edulus
ebulus,ebulus
aiiō,aiiō
Aius,Aius
heu,heor
eh,eh
eunt,eo
iēns,iēns
ĭī,ĭīa<SOS>
īuī,īo
uītāre,uītāa
oitile,oitilis
eira,eira
hinuleus,hinuleus
ēmī,ēmīo
emptum,emptus
enter,ensto
interuias,interuia
interus,interus
egone,ego
tūne,tūnus
onerāre,onerā
Eprius,eprius
op,op
irrītāre,irrītāor
prorītāre,prorītāo
triresmom,triresma
septeresmom,septer
ess,ess
est,sum
sumus,sum
estis,sum
sunt,sum
erat,sum
siēs,siēs
siet,sio
estōd,estōdus
esa,esa
aser,aser
assyr,assyr
assarātum,assarātus
reduuiae,reduuia
galbeus,galbeus
Zypressenzapfen,Zypressenzapfen
glēbō,glēo
glomerāre,glomerāre
glittūs,glittūs
glūttō,glūttō
gelū,gelū
gelus,gelus
galērus,galērus
germināre,germināes
gnāruris,gnārus
ignārurēs,ignārurēs
nārrāre,nārrāre
gruere,gruo
gerra,gerra
guttura,guttura
dēgūnō,dēgūnōa
oculi,oculus
grundiō,grundiō
gabulum,gabulus
hēdus,hēdus
faedus,faedus
haesitāre,haesitāre
hemōnem,hemōn
nēgi,nēgo
hippitāre,hippitāeo
exippitāre,exippetārio
helusa,helusa
praehendō,praehendm
hirrīre,hirrīo
fordeum,fordes
fūtilis,fūtilis
effūsī,effūsī
fauissae,fauissa
heus,heo
aduenam,aduena
uigēre,uigēis
uallessit,uallo
betulla,betulla
uoltur,uolo
uolturus,uolo
boue,bos
offendere,offendo
facētiae,facētia
hā,hā
hahahae,haho
Iegius,ieges
iotta,iotta
iuuāre,iuuāre
iugulae,iugula
iūgera,iūgerum
iouxmenta,iouxmens
iūges,iūges
ious,ious
iouestōd,iouester
NULL,null
callus,callus
calliomarcus,calliomarcus
epocalium,epocalis
ebulcalium,ebulcalis
camurus,camurus
camerus,camerus
cicendula,cicendulo
aucupāre,aucupāes
capulāre,capulāes
caputrum,caput
captāre,captāo
caprī,caprī
bicaps,bicaps
carrō,carrō
caudica,caudica
cucubiō,cucubiō
caurīre,caurīo
caulus,caulus
cotes,cotes
catanus,catanus
conciliāre,conciliāre
incēnsa,incēnsa
percontārī,percontār
carius,carius
carpisculum,carpisculus
cracentēs,craceo
equirria,equirria
cumbō,cumbo
cauellum,cauellus
clocca,clocca
clingō,clingpa
clepta,cligo
clāuiculae,clāuicula
cluuior,cluuus
cluor,cluor
clunāculum,clunāculum
hīsce,hīscus
citimus,cito
coirauit,coiro
cacabāre,caco
cacillāre,cacillārs
cūcuru,cūcur
serescunt,seresco
coaxare,coaxo
obscaenus,obscaenus
inquināre,inquināe
conquināre,conquināre
ancunulentae,ancunulens
quăsillus,quăsillus
quomque,quomque
tranquīlus,tranquīlus
incolere,incolo
Quorta,quortus
quae,qui
cui,qui
quōr,quōro
quirquir,quirquo
utei,uteum
utra,uter
lāmentāri,lāmentārum
lallus,lallus
Lalla,Lalla
Lallia,Lallia
Lollia,lollia
laetāre,laetārum
labōrāre,labōrāor
dīligere,dīligo
intellegere,intellego
neglegere,neglego
lēgāre,lēgo
litāre,litāer
ligurrio,ligurrius
pollicērī,pollicērī
relicuos,relicuus
lapit,lapio
laudāre,laudāo
luxāre,luxāes
pollūcēre,pollūcēo
loucom,louius
collūcāre,collūcāo
interlūcāre,interlūcār
Losna,Losna
illūstrāre,illūstrār
lūcŭbrāre,lūcŭbrāre
adluuiēs,adluuiēs
mācerāre,mācerāo
mahonus,mahonus
mattiuca,mattior
mihi,ego
moderāre,moderāo
martellus,martellus
prōmulgāre,prōmulgāes
melca,melca
imminēre,imminēe
prōminēre,prōminēe
mōnstrāre,mōnstrār
mantāre,mantār
ēmendāre,ēmendāo
manganum,manganus
sēmēnstris,sēmēnster
mercārī,mercārī
imbractum,imbro
mallum,mallus
mutmut,mutmo
mussāre,mussāre
conmūgentō,conmūgentum
mūgilāre,mūgilāes
mutidus,mutidus
muttō,muttus
Mutunus,Mutunus
nāsum,nāsus
nāssus,nāssus
nāuigāre,nāuigo
dēnicāles,dēnicālis
ēnectāre,ēnectārio
neriōsus,neriōsus
nūntium,nūntius
nuō,nuō
Nōdonti,nōdons
Nōdenti,nōdentus
nuscitiōsus,nuscitiōsus
nouāre,nouāre
odefaciō,odefaciō
ōcissimus,ōcisser
Opscī,Opscī
opere,opus
opiōn,opiōn
osseum,osseus
ossu,os
aureae,aurea
pacunt,paco
prō̆pāgāre,prō̆pāo
paca,paca
panceps,panceps
pedāre,pedārimis
peccāre,peccāer
expedīre,expedīrem
tribřic̨u,tribřic̨us
tribrisine,tribrisine
paenitet,paeniteo
pēminōsus,pēminōsus
plēmināre,plēmināes
plēmināre,plēmināes
plous,plous
pleores,pleor
ploirume,ploirus
plouruma,plourumus
plusima,plusimus
palpor,palpor
palpebrae,palpebra
pultāre,pultus
pollenta,pollentus
Quinctius,Quinctius
peruidēre,peruidēes
prī,po
procum,procus
comparāre,comparāe
imperāre,imperāes
polcher,polcho
pernīs,pernīs
pesna,pesna
propteruus,propteruus
putāre,putārus
putāre,putārus
depuuere,depuuo
amputāre,amputārus
patres,pater
patre,pater
pippitāre,pippitāeo
plōrāre,plōrāo
plācāre,plācāo
Letauia,letaueo
perplouēre,perplouēre
Plautios,plautio
poste,poste
paullus,paullus
pūssus,pūssus
prūrīre,prūrīrias
porrus,porrus
puppa,puppo
pussula,pussula
rabiāre,rabiāor
rigare,rigo
raccāre,raccāor
rancāre,ranco
ragere,ragio
corrigium,corrigium
rētāre,rētāea
rōbius,rōbus
rūmāre,rūmārum
rūmināre,rūmināe
praesaepēs,praesaepēs
sācris,sācer
nesapus,nesapus
sūdum,sūdus
sibī,sibes
souos,souus
Samnītes,samnītis
suad,suad
sōc,sōc
Sēmōnēs,Sēmōnēs
dēsinere,dēsino
siat,sio
sacēna,sacēnus
asignae,asignus
asignas,asignus
īnsece,īnsecio
insectiōnēs,insectiōnν
cōnsulere,cōnsulo
saltāre,saltāer
sarpiō,sarpiō
sarctus,sarcio
calcitrāre,calcitrāre
cappō,cappō
cappulāre,cappulāre
concipilāre,concipilāre
hapia,hapia
Pennocrucium,Pennocrucium
crocina,crocinus
crusina,crusinus
excarpo,excarpum
scarpinat,scarpino
scramis,scramus
screa,screa
screāre,scrio
scrautum,scrauo
būcerda,būceo
scirpea,scirpo
scutilus,scutilus
lurcor,lurcor
medullae,medulla
Natisōn,natisōn
nēmen,nēmeo
prōnuba,prōnuba
solidāre,solido
spīcārium,spīcārium
σπιθίαι,σπιθίαι
respondēre,respondēo
despondēre,despondēo
sparum,sparus
praestināre,praestināre
dēstināre,dēstināre
obstināre,obstināre
praestōlarī,praestōlo
instaurāre,instaurāe
restaurāre,restaurāre
tēgula,tēgula
stlatta,stlatta
prosternere,prosterno
sterculīnum,sterculīnus
sterquilīnum,sterquilīus
tuditāre,tuditāo
stupendus,stupeo
titubāre,titubāo
sīfilō,sīfel
sīfilus,sīfilus
consīderāre,consīderārio
dēsīderāre,dēsīderāre
sulpur,sulo
sonere,sono
insipere,insipeo
surcellus,surcellus
contamināre,contamināe
tālia,tālia
tāliāre,tāliāre
texor,texor
tulam,tula
mālobathrum,mālobo
temperāre,temperāes
antemnā,antemncs
templa,templum
contemplāri,contemplāis
temptō,tempt
attinēre,attinēre
pertinēre,pertinēo
tōlēs,tōlēs
tōnsillae,tōnsilla
prōtēlāre,prōtēlāes
trībulāre,trībulāre
intrāre,intrāer
extrābunt,extrāo
torquēs,torquēs
torrus,torrus
tetrax,tetrax
tucca,tucca
tesqua,tesqua
istum,iste
tutubāre,tutubār
truella,truella
amptruō,amptm
formaticum,formaticus
trucīdāre,trucīdāo
uēnsīca,uēnso
ululāre,ululāris
uassus,uatior
uassallus,uassallus
uolēmum,uolo
uāpulāre,uāpulāre
uatāx,uatāx
uēlāre,uēlāes
uigilāre,uigilio
uehis,uehis
ueia,ueia
uitus,uitus
inuītāre,inuītāre
uidua,uiduus
uēcus,uēcus
uībix,uībix
uolupe,uolus
uolgus,uolgus
Venethi,veneo
uapiō,uapo
uarulus,uarulus
uerbera,uerbum
uerberāre,uerbero
branca,branca
uersiōn,uersiōn
asseuērāre,asseuērār
perseuērāre,perseuērāor
Vlpius,vlpus
